,0
15,0.09591124418674347
13,0.06614985079386894
3,0.06221463064741974
11,0.06039833060527368
9,0.055611861806930014
4,0.04861769338131712
20,0.04780197711277657
19,0.04077671984457741
5,0.039539150110653995
18,0.03925519884320116
1,0.03908524908429117
10,0.03588000098906089
8,0.034230578034809764
2,0.03346168224305815
7,0.033315450392173
0,0.032660719776079206
12,0.03171404142248526
14,0.029260661569849696
22,0.029182276638402324
6,0.02875342880486114
23,0.026293824434226527
16,0.02554569952150441
24,0.023275619795764275
17,0.021460532675589106
21,0.019603577285083065
